Sexo,Mes,Año,Número emigrantes
Hombre,Enero,2009,1716
Hombre,Febrero,2009,1950
Hombre,Marzo,2009,2515
Hombre,Abril,2009,1996
Hombre,Mayo,2009,1911
Hombre,Junio,2009,1762
Hombre,Julio,2009,1681
Hombre,Agosto,2009,1266
Hombre,Septiembre,2009,431
Hombre,Octubre,2009,1664
Hombre,Noviembre,2009,665
Hombre,Diciembre,2009,937
Hombre,Enero,2010,1589
Hombre,Febrero,2010,1808
Hombre,Marzo,2010,2232
Hombre,Abril,2010,1834
Hombre,Mayo,2010,1976
Hombre,Junio,2010,2035
Hombre,Julio,2010,1789
Hombre,Agosto,2010,1004
Hombre,Septiembre,2010,1563
Hombre,Octubre,2010,1206
Hombre,Noviembre,2010,1240
Hombre,Diciembre,2010,963
Hombre,Enero,2011,1815
Hombre,Febrero,2011,2012
Hombre,Marzo,2011,2394
Hombre,Abril,2011,2241
Hombre,Mayo,2011,2418
Hombre,Junio,2011,2754
Hombre,Julio,2011,2477
Hombre,Agosto,2011,2717
Hombre,Septiembre,2011,3036
Hombre,Octubre,2011,2980
Hombre,Noviembre,2011,2992
Hombre,Diciembre,2011,2475
Hombre,Enero,2012,3090
Hombre,Febrero,2012,3227
Hombre,Marzo,2012,3822
Hombre,Abril,2012,3453
Hombre,Mayo,2012,3633
Hombre,Junio,2012,3864
Mujer,Enero,2009,1560
Mujer,Febrero,2009,1772
Mujer,Marzo,2009,2286
Mujer,Abril,2009,1814
Mujer,Mayo,2009,1737
Mujer,Junio,2009,1601
Mujer,Julio,2009,1527
Mujer,Agosto,2009,1150
Mujer,Septiembre,2009,392
Mujer,Octubre,2009,1512
Mujer,Noviembre,2009,605
Mujer,Diciembre,2009,852
Mujer,Enero,2010,1464
Mujer,Febrero,2010,1666
Mujer,Marzo,2010,2057
Mujer,Abril,2010,1690
Mujer,Mayo,2010,1821
Mujer,Junio,2010,1875
Mujer,Julio,2010,1649
Mujer,Agosto,2010,925
Mujer,Septiembre,2010,1441
Mujer,Octubre,2010,1111
Mujer,Noviembre,2010,1143
Mujer,Diciembre,2010,887
Mujer,Enero,2011,1934
Mujer,Febrero,2011,2144
Mujer,Marzo,2011,2551
Mujer,Abril,2011,2388
Mujer,Mayo,2011,2576
Mujer,Junio,2011,2934
Mujer,Julio,2011,2640
Mujer,Agosto,2011,2895
Mujer,Septiembre,2011,3235
Mujer,Octubre,2011,3176
Mujer,Noviembre,2011,3189
Mujer,Diciembre,2011,2637
Mujer,Enero,2012,2862
Mujer,Febrero,2012,2989
Mujer,Marzo,2012,3540
Mujer,Abril,2012,3198
Mujer,Mayo,2012,3366
Mujer,Junio,2012,3579